scenario,display_name,epoch,subset,model,loss,accuracy,precision,recall,f1,auroc,mean_entropy,median_entropy,std_entropy
s1_random_1_percent,Random 1%,0,forget,baseline,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
s1_random_1_percent,Random 1%,0,forget,fine_tuned,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
s1_random_1_percent,Random 1%,0,forget,fully_retrained,0.31426174601107815,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9034922833399288,0.41313557444216326,0.3201746901400825,0.3712058653440291
s1_random_1_percent,Random 1%,0,retain,baseline,0.29887029258355713,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3794381343093393,0.3730881505561839
s1_random_1_percent,Random 1%,0,retain,fine_tuned,0.29887029258355713,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3794381343093393,0.3730881505561839
s1_random_1_percent,Random 1%,0,retain,fully_retrained,0.2994500580490726,0.8600466806511655,0.7423021582733813,0.6365206662553979,0.6853537030886748,0.9181892941254343,0.43688180260733517,0.36019366044366913,0.37275576137371247
s1_random_1_percent,Random 1%,0,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s1_random_1_percent,Random 1%,0,validation,fine_tuned,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s1_random_1_percent,Random 1%,0,validation,fully_retrained,0.30091478286834683,0.8630903630903631,0.7506684491978609,0.6406160867084997,0.6912896275777162,0.9165431611482672,0.42682485831106987,0.34409576316848334,0.36888990471665406
s1_random_1_percent,Random 1%,0,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s1_random_1_percent,Random 1%,0,test,fine_tuned,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s1_random_1_percent,Random 1%,0,test,fully_retrained,0.31208210650335294,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.44110829850582406,0.3802134147657185,0.37217705002689344
s1_random_1_percent,Random 1%,1,forget,baseline,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
