scenario,display_name,current_validation_best_epoch,overall_epoch_lowest_forget_entropy_distance,overall_epoch_lowest_forget_probability_distance,overall_epoch_lowest_forget_loss_distance,overall_entropy_best_was_epoch_zero,overall_probability_best_was_epoch_zero,overall_loss_best_was_epoch_zero,best_finetuned_epoch_for_entropy_distance,best_finetuned_epoch_for_probability_distance,best_finetuned_epoch_for_loss_distance,selected_checkpoints_all_same,validation_best_test_f1,entropy_selected_test_f1,probability_selected_test_f1,loss_selected_test_f1,validation_best_test_f1_delta_from_full_retraining,entropy_selected_test_f1_delta_from_full_retraining,probability_selected_test_f1_delta_from_full_retraining,loss_selected_test_f1_delta_from_full_retraining,entropy_selected_runtime_seconds,probability_selected_runtime_seconds,loss_selected_runtime_seconds
s1_random_1_percent,Random 1%,2,0,0,0,True,True,True,2,2,2,True,0.6713021491782554,0.6713021491782554,0.6713021491782554,0.6713021491782554,-0.0052962369173373824,-0.0052962369173373824,-0.0052962369173373824,-0.0052962369173373824,2.372999917017296,2.372999917017296,2.372999917017296
s2_random_5_percent,Random 5%,1,0,2,2,True,False,False,2,2,2,False,0.6737235367372354,0.6794029850746268,0.6794029850746268,0.6794029850746268,-0.0021852741068804082,0.0034941742305110157,0.0034941742305110157,0.0034941742305110157,2.4339410829124972,2.4339410829124972,2.4339410829124972
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),4,2,2,2,False,False,False,2,2,2,False,0.67235926628716,0.6761963952765693,0.6761963952765693,0.6761963952765693,0.004433550202803671,0.008270679192212915,0.008270679192212915,0.008270679192212915,2.2737269579665735,2.2737269579665735,2.2737269579665735
s4_random_10_percent,Random 10%,3,0,0,2,True,True,False,2,2,2,False,0.6632023384215654,0.6774595267745953,0.6774595267745953,0.6774595267745953,-0.010650448766608256,0.003606739586421659,0.003606739586421659,0.003606739586421659,2.1242895419709384,2.1242895419709384,2.1242895419709384
s5_retention_expiry,Simulated Retention Expiry,1,5,5,5,False,False,False,5,5,5,False,0.67375,0.6702429788576838,0.6702429788576838,0.6702429788576838,0.006241316703504807,0.002734295561188649,0.002734295561188649,0.002734295561188649,4.962863542023115,4.962863542023115,4.962863542023115
