scenario,display_name,epoch,runtime_seconds,cumulative_optimizer_steps,epoch_sweep_seed,forget_entropy_mean,forget_entropy_mae_to_retraining,baseline_entropy_mae_to_retraining,relative_entropy_improvement,forget_entropy_wasserstein_to_retraining,entropy_records_moved_closer_percentage,forget_probability_mae_to_retraining,relative_probability_improvement,forget_loss_mae_to_retraining,relative_loss_improvement,forget_prediction_agreement_with_retraining,retain_accuracy,retain_f1,retain_auroc,validation_loss,test_accuracy,test_f1,test_auroc
s2_random_5_percent,Random 5%,3,3.5607484999345616,1524,743,0.44950571253444904,0.022516517560163145,0.021005455047101773,-0.07193667119674507,0.006181259856434991,38.970157987126974,0.013613935559988022,-0.015105982706913323,0.02639993696951302,0.029229025909363604,0.9882972498537156,0.8611453201970444,0.68853591160221,0.9199940604502942,0.30097129772600817,0.8586051590009554,0.6776602364654636,0.9094781082652712
s2_random_5_percent,Random 5%,5,5.918196291895583,2540,743,0.44917762678123374,0.022893495672319335,0.021005455047101773,-0.08988334796765396,0.006237796013733892,35.108250438853126,0.014337386935949326,-0.06904922466658903,0.028239416167100847,-0.03841177999573997,0.9865418373317729,0.8624076354679803,0.6886365219814673,0.9209236774054825,0.3011588126150562,0.8576497884536646,0.6729382251489495,0.9093881502231758
s2_random_5_percent,Random 5%,8,9.318982832832262,4064,743,0.4390928204535154,0.026775957275100407,0.021005455047101773,-0.27471445941347605,0.014826904724293329,31.129315389116442,0.015506944619119167,-0.15625582235284896,0.030002009956384447,-0.10322537753292016,0.9842012873025161,0.8630233990147783,0.6910202097367872,0.9221127138775533,0.30150602595349285,0.8583321959874437,0.6758276077451593,0.9090803074579619
s2_random_5_percent,Random 5%,10,11.603165999869816,5080,743,0.4332458551179455,0.02932592450840433,0.021005455047101773,-0.39610993633059,0.020660354242630734,28.20362785254535,0.015622997656464577,-0.16490917112194925,0.03023893839668161,-0.11193764275698737,0.9859566998244588,0.864685960591133,0.7007150153217568,0.9227137090159403,0.3010261172414048,0.8557390473590828,0.6768572302048304,0.9091065068422353
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),0,0.0,0,744,0.44821597964761095,0.023211722043069996,0.023211722043069996,0.0,0.009780565498617975,0.0,0.013069559819996357,0.0,0.02908051366806977,0.0,0.9852767962308598,0.8602074420608784,0.6890744797371303,0.9186588401203506,0.3010408610695784,0.8560120103725946,0.6750846935632892,0.9096566939119795
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),1,1.1177964999806136,508,744,0.44180680136212763,0.02230015734063761,0.023211722043069996,0.03927173954353547,0.004725592180377506,50.70671378091873,0.01332050934433937,-0.0192010693396929,0.028208277861185578,0.02999382393447536,0.9858657243816255,0.860361330830076,0.67465041233417,0.919143015720824,0.3017601366995884,0.8592875665347346,0.6677408959071865,0.9095059451110618
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),2,2.2737269579665735,1016,744,0.4397101261248291,0.020303235149581267,0.023211722043069996,0.12530250397156883,0.004397097976491399,51.23674911660777,0.011564007960259914,0.11519529964834441,0.024360140583737172,0.16232082893073307,0.9893992932862191,0.8619925517835708,0.6892154144718603,0.9197181575989067,0.30090054294251556,0.8577862699604204,0.6761963952765693,0.9100616586134261
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),3,3.3893699168693274,1524,744,0.4418872163891684,0.025872950962582287,0.023211722043069996,-0.11465021486016025,0.006126929219681064,39.45818610129564,0.015074924565851688,-0.15343781837144466,0.031748541007046494,-0.09174622461728399,0.983510011778563,0.8624234403373242,0.6951718494271686,0.920176698336967,0.30127780499434614,0.858059232973932,0.6813725490196079,0.9096513721620488
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),4,4.4910035418579355,2032,744,0.42712832338161266,0.025230007466538015,0.023211722043069996,-0.08695112838776176,0.011403410861119128,41.22497055359246,0.013469215482473373,-0.03057912186648748,0.027651312109526885,0.04914636566795372,0.9870435806831567,0.8631621064294728,0.6865482233502538,0.9205038005349482,0.30202551027652536,0.8586051590009554,0.67235926628716,0.9096556704985312
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),5,5.585712332860567,2540,744,0.42780967354268273,0.02332129193444524,0.023211722043069996,-0.004720455086095532,0.010743457479697016,43.4040047114252,0.013247380964457989,-0.013605748541704266,0.027133156339981274,0.06696433736748886,0.9870435806831567,0.8630697731679542,0.6856496855790292,0.9209398248676595,0.30217027559615545,0.8576497884536646,0.6696230598669624,0.9097476241968508
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),8,8.96169549995102,4064,744,0.4298253544483725,0.02934795602447747,0.023211722043069996,-0.2643592737333973,0.009154534644225639,35.39458186101296,0.01586158759891987,-0.21362829486052948,0.032465979574349525,-0.11641699128571381,0.9799764428739693,0.8648856606444861,0.6949694274596998,0.9221235552472153,0.30157544979858514,0.8584686774941995,0.6764430577223088,0.9094467918137568
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),10,11.211203751037829,5080,744,0.4317331712681495,0.02906155944235664,0.023211722043069996,-0.2520208275987499,0.008078813871731653,34.45229681978799,0.016852347180247307,-0.28943494749251664,0.034658710528940616,-0.19181906222638956,0.9782096584216725,0.8652549936905605,0.6946149553571429,0.9228964796680504,0.3011968670028083,0.857240343933397,0.6721003134796238,0.909841420039377
s4_random_10_percent,Random 10%,0,0.0,0,745,0.44148321718143013,0.024447014995424815,0.024447014995424815,0.0,0.007373177668103593,0.0,0.014625221490859985,0.0,0.031679646310919095,0.0,0.9850833577069319,0.8593435164120897,0.6887226697353279,0.9186400535980562,0.3010408610695784,0.8560120103725946,0.6750846935632892,0.9096566939119795
s4_random_10_percent,Random 10%,1,1.0518413339741528,481,745,0.4414671742214189,0.029042193034258902,0.024447014995424815,-0.18796478996286714,0.009848872194580603,35.361216730038024,0.017484404146671295,-0.19549670803947494,0.0361951114286262,-0.1425352124638699,0.9809885931558935,0.8606434839129021,0.6834489886313303,0.9193132589726924,0.301239705701299,0.8581957144806879,0.672755905511811,0.9099040529424057
s4_random_10_percent,Random 10%,2,2.1242895419709384,962,745,0.4315168870507127,0.025047403708749815,0.024447014995424815,-0.02455877388046601,0.005139151861983142,43.37525592278444,0.014646983705461025,-0.001487992138419214,0.030032959675140494,0.05197932513567971,0.9850833577069319,0.8608059798505038,0.6871667518807976,0.9196365678705953,0.3008614215593792,0.8586051590009554,0.6774595267745953,0.9098332327317914
s4_random_10_percent,Random 10%,3,3.2234082078794017,1443,745,0.4312478965670535,0.029338436006331535,0.024447014995424815,-0.20008254634858824,0.007037989154457358,33.07984790874524,0.01973656751215458,-0.34948845215704405,0.039624162464526824,-0.250776668263164,0.9751389295115531,0.8609034774130647,0.6761991224088364,0.9201991910470623,0.30231262514410995,0.8584686774941995,0.6632023384215654,0.9094318499774132
s4_random_10_percent,Random 10%,5,5.401493081939407,2405,745,0.434928853822178,0.027358936410019317,0.024447014995424815,-0.11911153223162252,0.009645104450450909,36.20941795846739,0.015664130449295044,-0.07103543416995928,0.03178811128146636,-0.0034238062345373077,0.9818660427025446,0.8621059473513162,0.687945870412591,0.9210328111404245,0.301123345223065,0.8571038624266412,0.6710650329877474,0.909384926470814
s4_random_10_percent,Random 10%,8,8.627218790003099,3848,745,0.41034938222606504,0.036618181089862964,0.024447014995424815,-0.4978589859218374,0.024266416151721516,27.493419128400117,0.019474418833851814,-0.3315640276642873,0.039973212224675946,-0.2617947761272288,0.9795261772448084,0.863438414039649,0.6883251743064828,0.9221743767459052,0.3022189069150176,0.858878122014467,0.6719543147208121,0.9094003288432092
s4_random_10_percent,Random 10%,10,10.74869820708409,4810,745,0.41192352003053134,0.03733837574362891,0.024447014995424815,-0.5273183965656614,0.022692279287131873,27.78590231061714,0.019453415647149086,-0.3301279340833556,0.04042563803217559,-0.2760760532304931,0.9795261772448084,0.8649333766655833,0.6923760177646188,0.9231198361470576,0.30255091135400314,0.857240343933397,0.6681472081218274,0.9095711365477113
s5_retention_expiry,Simulated Retention Expiry,0,0.0,0,746,0.551749331290074,0.05100271029591684,0.05100271029591684,0.0,0.02489003640026413,0.0,0.03611636161804199,0.0,0.08087677664389227,0.0,0.9457475380483438,0.8668018458956789,0.683081018133422,0.923472991027488,0.3010408610695784,0.8560120103725946,0.6750846935632892,0.9096566939119795
s5_retention_expiry,Simulated Retention Expiry,1,0.9984979999717325,447,746,0.5403582110692321,0.038786098002531126,0.05100271029591684,0.23952868823058893,0.013504836193351437,66.33840644583707,0.027664192020893097,0.2340260540786755,0.06227121943458709,0.23004820396375492,0.9593554162936437,0.8681652915676129,0.6831358709352156,0.9241816336694018,0.30133890663481383,0.8575133069469087,0.67375,0.9094397302609641
s5_retention_expiry,Simulated Retention Expiry,2,1.984749583993107,894,746,0.5181192768454465,0.03383729267050838,0.05100271029591684,0.33655893041399176,0.0088235812583611,62.04118173679498,0.0237886905670166,0.3413320306569054,0.05120387544437966,0.3668902549141525,0.9659803043867502,0.8694588169486785,0.6825909554573274,0.924755725680712,0.3018708715784691,0.8583321959874437,0.6719342604298356,0.9093540705553512
s5_retention_expiry,Simulated Retention Expiry,3,2.972480667056516,1341,746,0.5190117616495279,0.033657144627733324,0.05100271029591684,0.34009105727018907,0.008542820122792366,61.700984780662495,0.024281080812215805,0.32769859076596053,0.05183134315426012,0.35913193743516525,0.963294538943599,0.8693189763669417,0.6903578528827038,0.9248685986126273,0.3026091510472806,0.8569673809198853,0.6779348494161033,0.9087838245820226
s5_retention_expiry,Simulated Retention Expiry,5,4.962863542023115,2235,746,0.5179423628307589,0.03088410426966588,0.05100271029591684,0.3944615082124686,0.009788326719845064,63.41987466427932,0.02063128352165222,0.42875520685489465,0.04388169484415369,0.4574252750283466,0.9708146821844226,0.8697384981121521,0.6850912778904665,0.9260719415780079,0.3024459504499162,0.8573768254401528,0.6702429788576838,0.9085439364697682
s5_retention_expiry,Simulated Retention Expiry,8,7.915087959147058,3576,746,0.5117817016324123,0.033604992622710876,0.05100271029591684,0.34111359126338003,0.015159381526822915,58.35273052820054,0.021381864324212074,0.40797291403985925,0.04544234578460669,0.4381286239349841,0.971888988361683,0.871241784365823,0.6865265128947144,0.9270282734233791,0.3030122816567647,0.8558755288658387,0.6641221374045801,0.9079219057759613
s5_retention_expiry,Simulated Retention Expiry,10,9.949640168109909,4470,746,0.5075578717726863,0.036609967883192804,0.05100271029591684,0.28219563880463594,0.019382436159610078,54.89704565801253,0.02246810309588909,0.3778968287695649,0.04770745711954243,0.4101216801752292,0.9702775290957923,0.8723605090197175,0.6954200383749062,0.9278408201202598,0.3028817653607619,0.8550566398253037,0.6679174484052532,0.9080902572881877
