scenario,display_name,epoch,is_scheduled_checkpoint,is_validation_best_epoch,current_validation_best_epoch,runtime_seconds,cumulative_optimizer_steps,epoch_sweep_seed,forget_entropy_mean,forget_entropy_median,forget_entropy_std,forget_entropy_mae_to_retraining,forget_entropy_median_abs_diff_to_retraining,baseline_entropy_mae_to_retraining,forget_entropy_wasserstein_to_retraining,baseline_entropy_wasserstein_to_retraining,relative_entropy_mae_improvement,relative_entropy_wasserstein_improvement,forget_entropy_ks_statistic_to_retraining,forget_entropy_ks_pvalue_to_retraining,baseline_entropy_ks_statistic_to_retraining,baseline_entropy_ks_pvalue_to_retraining,relative_entropy_improvement,entropy_records_moved_closer,entropy_records_moved_closer_percentage,entropy_records_unchanged_percentage,entropy_records_moved_further_percentage,forget_record_count,forget_probability_mean,forget_probability_median,forget_probability_std,forget_probability_mae_to_retraining,forget_probability_median_abs_diff_to_retraining,baseline_probability_mae_to_retraining,forget_probability_wasserstein_to_retraining,baseline_probability_wasserstein_to_retraining,relative_probability_mae_improvement,relative_probability_wasserstein_improvement,forget_probability_ks_statistic_to_retraining,forget_probability_ks_pvalue_to_retraining,baseline_probability_ks_statistic_to_retraining,baseline_probability_ks_pvalue_to_retraining,relative_probability_improvement,probability_records_moved_closer,probability_records_moved_closer_percentage,probability_records_unchanged_percentage,probability_records_moved_further_percentage,forget_loss_mean,forget_loss_median,forget_loss_std,forget_loss_mae_to_retraining,forget_loss_median_abs_diff_to_retraining,baseline_loss_mae_to_retraining,forget_loss_wasserstein_to_retraining,baseline_loss_wasserstein_to_retraining,relative_loss_mae_improvement,relative_loss_wasserstein_improvement,forget_loss_ks_statistic_to_retraining,forget_loss_ks_pvalue_to_retraining,baseline_loss_ks_statistic_to_retraining,baseline_loss_ks_pvalue_to_retraining,relative_loss_improvement,loss_records_moved_closer,loss_records_moved_closer_percentage,loss_records_unchanged_percentage,loss_records_moved_further_percentage,forget_prediction_agreement_with_retraining,retain_loss,retain_accuracy,retain_f1,retain_auroc,retain_mean_entropy,validation_loss,validation_accuracy,validation_f1,validation_auroc,validation_mean_entropy,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_mean_entropy,full_retraining_test_f1,test_f1_difference_from_full_retraining
s1_random_1_percent,Random 1%,0,True,False,2,0.0,0,742,0.42080562443019687,0.33273387884721156,0.37208628083989015,0.01791036028372088,0.008054294776664972,0.01791036028372088,0.008702828305664306,0.008702828305664306,0.0,0.0,0.03508771929824561,0.9846787309559571,0.03508771929824561,0.9846787309559571,0.0,0,0.0,100.0,0.0,342,0.23483753204345703,0.07383912801742554,0.2938539981842041,0.01089129876345396,0.0037886155769228935,0.01089129876345396,0.0064315773685113126,0.0064315773685113126,0.0,0.0,0.03216374269005848,0.9945515306451277,0.03216374269005848,0.9945515306451277,0.0,0,0.0,100.0,0.0,0.3046579141173976,0.06441773474216461,0.5132490755222352,0.02585407007391586,0.0049774497747421265,0.02585407007391586,0.015111543653278868,0.015111543653278868,0.0,0.0,0.03508771929824561,0.9846787309559571,0.03508771929824561,0.9846787309559571,0.0,0,0.0,100.0,0.0,0.9883040935672515,0.29887029258355713,0.8599875912193105,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3010408610695784,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.6765983860955928,-0.001513692532303601
s1_random_1_percent,Random 1%,1,True,False,2,1.207481999997981,529,742,0.3944271396567277,0.2616425257862479,0.37546014582338044,0.040632676853247215,0.030832839638057184,0.01791036028372088,0.021194493270752186,0.008702828305664306,-1.2686688715122694,-1.4353569352801756,0.06725146198830409,0.4222604081009791,0.03508771929824561,0.9846787309559571,-1.2686688715122694,53,15.497076023391813,0.29239766081871343,84.21052631578947,342,0.20644575357437134,0.05147970840334892,0.2761650085449219,0.023778589442372322,0.010203737765550613,0.01089129876345396,0.023345978321020665,0.0064315773685113126,-1.1832648207357974,-2.629899320704969,0.06725146198830409,0.4222604081009791,0.03216374269005848,0.9945515306451277,-1.1832648207357974,49,14.327485380116958,0.5847953216374269,85.08771929824562,0.3062079055422149,0.04772435501217842,0.5517226783996059,0.0469375073743452,0.012606272473931313,0.02585407007391586,0.017471359877920263,0.015111543653278868,-0.81547846200434,-0.15615983904657993,0.06725146198830409,0.4222604081009791,0.03508771929824561,0.9846787309559571,-0.81547846200434,50,14.619883040935672,0.5847953216374269,84.7953216374269,0.9736842105263158,0.30089292316294564,0.8591012497414837,0.6618929457639136,0.919017763752696,0.41468554230178367,0.3052834448443348,0.8624078624078624,0.6697247706422018,0.9163153596167817,0.40451804130114827,0.31586734758674284,0.8566944179063737,0.7827835880933226,0.5550484883057616,0.6495327102803738,0.9097233181274563,0.41769572256503895,0.6765983860955928,-0.027065675815218904
s1_random_1_percent,Random 1%,2,True,True,2,2.372999917017296,1058,742,0.4075435820815988,0.2968484156169235,0.3737622270711157,0.021783064668050554,0.012735721714038237,0.01791036028372088,0.009010244668086028,0.008702828305664306,-0.21622705087901894,-0.03532373058786398,0.04093567251461988,0.9373505977206733,0.03508771929824561,0.9846787309559571,-0.21622705087901894,123,35.96491228070175,0.29239766081871343,63.74269005847953,342,0.2230273187160492,0.06381973624229431,0.2879149317741394,0.012972340919077396,0.004043536260724068,0.01089129876345396,0.007988529005185274,0.0064315773685113126,-0.19107382882622104,-0.24207928280498026,0.04093567251461988,0.9373505977206733,0.03216374269005848,0.9945515306451277,-0.19107382882622104,124,36.25730994152047,2.046783625730994,61.69590643274854,0.3052297526414359,0.05520953983068466,0.5332185531866964,0.028807733363830974,0.004393656272441149,0.02585407007391586,0.013996036783154442,0.015111543653278868,-0.11424364834901035,0.07381819460134276,0.04093567251461988,0.9373505977206733,0.03508771929824561,0.9846787309559571,-0.11424364834901035,123,35.96491228070175,2.046783625730994,61.98830409356725,0.9912280701754386,0.2972778095303436,0.8614057375838331,0.6837457021506101,0.919651233799103,0.4308315388386609,0.3016541535826722,0.8630903630903631,0.6866604186191815,0.9164439745906354,0.4209579886589027,0.31278222858455396,0.858059232973932,0.7526576895818569,0.6058185966913862,0.6713021491782554,0.9096905177264419,0.43432860524176686,0.6765983860955928,-0.0052962369173373824
s1_random_1_percent,Random 1%,3,True,False,2,3.5378175009973347,1587,742,0.4289885364528425,0.3427662526939481,0.37839958351500147,0.025767963334019293,0.013635388241475338,0.01791036028372088,0.016503044210747213,0.008702828305664306,-0.43871831307828923,-0.8962851651348878,0.04678362573099415,0.8490653237513515,0.03508771929824561,0.9846787309559571,-0.43871831307828923,106,30.994152046783626,0.5847953216374269,68.42105263157895,342,0.22728505730628967,0.07468260079622269,0.2825661301612854,0.015030551701784134,0.005759797990322113,0.01089129876345396,0.009735217927978388,0.0064315773685113126,-0.3800513628567004,-0.5136594602191271,0.038011695906432746,0.9661922847636618,0.03216374269005848,0.9945515306451277,-0.3800513628567004,99,28.947368421052634,6.140350877192982,64.91228070175438,0.3030696749431059,0.06921947747468948,0.498899962608411,0.03379770144804244,0.0066850390285253525,0.02585407007391586,0.02341262446206884,0.015111543653278868,-0.30724877558605,-0.5493205061806392,0.03216374269005848,0.9945515306451277,0.03508771929824561,0.9846787309559571,-0.30724877558605,100,29.239766081871345,6.432748538011696,64.32748538011695,0.9883040935672515,0.29719298943998496,0.8622034449138771,0.6866433754367106,0.9201548191562159,0.45268116224310034,0.3018093764867068,0.8633633633633634,0.6874804870433968,0.9163179697893508,0.4431037043626142,0.3132705669596535,0.858878122014467,0.752280701754386,0.6115231032515688,0.6746381371932033,0.9093314531181463,0.456779279930973,0.6765983860955928,-0.0019602489023894387
s1_random_1_percent,Random 1%,5,True,False,2,5.935167293064296,2645,742,0.4115007443438103,0.30269031631324295,0.379526614449008,0.028478607386915027,0.01756480395216932,0.01791036028372088,0.011061840450585596,0.008702828305664306,-0.5900633452248227,-0.2710627007757822,0.06140350877192982,0.5399964122491941,0.03508771929824561,0.9846787309559571,-0.5900633452248227,90,26.31578947368421,0.29239766081871343,73.39181286549707,342,0.21796037256717682,0.0666070282459259,0.28044024109840393,0.017910217866301537,0.005370015278458595,0.01089129876345396,0.012071431199250963,0.0064315773685113126,-0.6444519845878935,-0.876900565381068,0.06140350877192982,0.5399964122491941,0.03216374269005848,0.9945515306451277,-0.6444519845878935,87,25.438596491228072,0.5847953216374269,73.9766081871345,0.3053564571929189,0.0581006221473217,0.5315737715162064,0.037947894243210725,0.006238255649805069,0.02585407007391586,0.018640024135818254,0.015111543653278868,-0.4677725454723012,-0.23349570126634833,0.06140350877192982,0.5399964122491941,0.03508771929824561,0.9846787309559571,-0.4677725454723012,88,25.730994152046783,0.5847953216374269,73.68421052631578,0.9824561403508771,0.29590611027967767,0.8634443229828345,0.6806687854083183,0.9209541619058497,0.43100157656598465,0.3025742834122508,0.8632268632268633,0.6788461538461539,0.9164632182158519,0.4207505612533658,0.3136430472462438,0.8590146035212228,0.7727272727272727,0.5818596691386195,0.6638464041653108,0.9096551587918073,0.4344176273721025,0.6765983860955928,-0.01275198193028193
s1_random_1_percent,Random 1%,8,True,False,2,9.488466501235962,4232,742,0.40403405039810636,0.2904887553458566,0.37533103941155477,0.028313497483510197,0.017749130565437667,0.01791036028372088,0.012301147137521111,0.008702828305664306,-0.580844663925882,-0.41346545117003064,0.07017543859649122,0.36924005086920214,0.03508771929824561,0.9846787309559571,-0.580844663925882,102,29.82456140350877,0.29239766081871343,69.88304093567251,342,0.22106514871120453,0.06352052837610245,0.2871231138706207,0.016218779608607292,0.0053079379722476006,0.01089129876345396,0.009815005029150763,0.0064315773685113126,-0.4891501886836338,-0.5260649863600408,0.07017543859649122,0.36924005086920214,0.03216374269005848,0.9945515306451277,-0.4891501886836338,98,28.654970760233915,0.8771929824561403,70.46783625730994,0.3065425112275813,0.05653727613389492,0.5423833085712004,0.03544698057276891,0.006310964934527874,0.02585407007391586,0.015175979581242505,0.015111543653278868,-0.371040631955714,-0.004264020237909616,0.07017543859649122,0.36924005086920214,0.03508771929824561,0.9846787309559571,-0.371040631955714,98,28.654970760233915,0.8771929824561403,70.46783625730994,0.9824561403508771,0.2934848429310192,0.8638874937217479,0.6849052732371247,0.922146334065875,0.4241038628763216,0.30204700363308273,0.8624078624078624,0.6797966963151207,0.9164851231934918,0.4139805979329976,0.3142052279878105,0.8576497884536646,0.7614138438880707,0.5898459783228751,0.6647380263580842,0.909299778471925,0.42817799653617544,0.6765983860955928,-0.011860359737508541
s1_random_1_percent,Random 1%,10,True,False,2,11.800403501256369,5290,742,0.41996296997711663,0.3320736166090267,0.377581316495916,0.02953905691335332,0.0160364563961726,0.01791036028372088,0.010715154909464968,0.008702828305664306,-0.6492720663024305,-0.23122673838008767,0.05847953216374269,0.6031709258512786,0.03508771929824561,0.9846787309559571,-0.6492720663024305,93,27.192982456140353,0.29239766081871343,72.51461988304094,342,0.22475998103618622,0.07386349141597748,0.28392040729522705,0.017617516219615936,0.005022622644901276,0.01089129876345396,0.009294918005712575,0.0064315773685113126,-0.617577168916895,-0.44520037203004637,0.05847953216374269,0.6031709258512786,0.03216374269005848,0.9945515306451277,-0.617577168916895,86,25.146198830409354,1.7543859649122806,73.09941520467837,0.30577725181866655,0.06651966646313667,0.5207651037176848,0.038831664288577435,0.006763124838471413,0.02585407007391586,0.01769356058218286,0.015111543653278868,-0.501955559707199,-0.1708638765268533,0.05847953216374269,0.6031709258512786,0.03508771929824561,0.9846787309559571,-0.501955559707199,88,25.730994152046783,1.7543859649122806,72.51461988304094,0.9766081871345029,0.2930130174932244,0.8637397701421101,0.6849296351960651,0.9226757607198005,0.4409362313747605,0.30183293939789896,0.8628173628173628,0.6818613485280152,0.91630343471073,0.4314437711128024,0.31423934042688617,0.8571038624266412,0.7580409356725146,0.5915573302909298,0.6645305991669337,0.9090349702422071,0.4449908847915586,0.6765983860955928,-0.012067786928659063
s2_random_5_percent,Random 5%,0,True,False,1,0.0,0,743,0.44762381704415816,0.3786801010714992,0.3733452841658729,0.021005455047101773,0.009416410996982011,0.021005455047101773,0.0067801164619423,0.0067801164619423,0.0,0.0,0.01579871269748391,0.983361434100525,0.01579871269748391,0.983361434100525,0.0,0,0.0,100.0,0.0,1709,0.2442733347415924,0.09964735805988312,0.29127150774002075,0.013411344029009342,0.0044219233095645905,0.013411344029009342,0.0034619916666749065,0.0034619916666749065,0.0,0.0,0.011702750146284377,0.99980859946012,0.011702750146284377,0.99980859946012,0.0,0,0.0,100.0,0.0,0.2945428908652551,0.07965908944606781,0.47612369410290545,0.027194814919392286,0.005603332072496414,0.027194814919392286,0.00862177314643709,0.00862177314643709,0.0,0.0,0.015213575190169689,0.9890271430485175,0.015213575190169689,0.9890271430485175,0.0,0,0.0,100.0,0.0,0.9842012873025161,0.2991589285472625,0.8595751231527093,0.6883498462589682,0.9186793364294774,0.44388316349652834,0.3010408610695784,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.6759088108441158,-0.0008241172808266528
s2_random_5_percent,Random 5%,1,True,True,1,1.2977852079784498,508,743,0.43905831182013694,0.3595430261502594,0.3765573164790658,0.026633658203326218,0.012841380201606079,0.021005455047101773,0.014895969335557353,0.0067801164619423,-0.26794007288125843,-1.1970078860990694,0.02633118782913985,0.5942560682803825,0.01579871269748391,0.983361434100525,-0.26794007288125843,631,36.92217671152721,0.8191925102399065,62.258630778232884,1709,0.23752941191196442,0.0945826917886734,0.2883133888244629,0.015204102732241154,0.005825341679155827,0.013411344029009342,0.007555802249094884,0.0034619916666749065,-0.13367479794374026,-1.182501570361059,0.02633118782913985,0.5942560682803825,0.011702750146284377,0.99980859946012,-0.13367479794374026,595,34.81568168519602,3.6863662960795787,61.4979520187244,0.29530377920146433,0.07507676631212234,0.49146581259506195,0.029683828759928112,0.007727980613708496,0.027194814919392286,0.011202784446610516,0.00862177314643709,-0.0915253090676833,-0.299359685801988,0.02633118782913985,0.5942560682803825,0.015213575190169689,0.9890271430485175,-0.0915253090676833,596,34.87419543592744,3.627852545348157,61.4979520187244,0.9847864248098304,0.29838176718046006,0.8610221674876847,0.6870059631119123,0.9190385540975158,0.43572797542349034,0.3014102710933756,0.8633633633633634,0.6903804515929477,0.9164094793688378,0.4266597250024718,0.3128882504675522,0.8569673809198853,0.7416038382453736,0.6172276098117513,0.6737235367372354,0.9093596993293162,0.44039261549625147,0.6759088108441158,-0.0021852741068804082
s2_random_5_percent,Random 5%,2,True,False,1,2.4339410829124972,1016,743,0.44257443867977714,0.37209687693386967,0.3752813501185317,0.021727615123744725,0.012516791722408382,0.021005455047101773,0.011602958209458685,0.0067801164619423,-0.034379644479189286,-0.7113213725144163,0.022235225277940317,0.7922073770594981,0.01579871269748391,0.983361434100525,-0.034379644479189286,686,40.14043300175541,0.9362200117027502,58.92334698654184,1709,0.2502566874027252,0.09779909998178482,0.29813745617866516,0.013273465447127819,0.00528455525636673,0.013411344029009342,0.008727820032676723,0.0034619916666749065,0.01028074304732518,-1.5210401621386391,0.021650087770626096,0.8181590043046274,0.011702750146284377,0.99980859946012,0.01028074304732518,665,38.91164423639555,2.925687536571094,58.16266822703335,0.2962997364245392,0.07972925901412964,0.4866375280113831,0.02569761384421657,0.006538957357406616,0.027194814919392286,0.009230625696365099,0.00862177314643709,0.055054652131795945,-0.07061802016672325,0.02047981275599766,0.8661938891544035,0.015213575190169689,0.9890271430485175,0.055054652131795945,667,39.028671737858396,2.8671737858396726,58.10415447630193,0.9847864248098304,0.2979856661622568,0.8605603448275863,0.6986091701603779,0.9197552020739159,0.43881596850162785,0.3012736093421085,0.8625443625443625,0.6991335524350164,0.9167509513567216,0.42946740599386685,0.3132510016557794,0.8534188617442336,0.7125860989355041,0.6491728465487735,0.6794029850746268,0.9097829831314855,0.44368187803030884,0.6759088108441158,0.0034941742305110157
