scenario,display_name,epoch,train_loss,cumulative_optimizer_steps,epoch_sweep_seed,epoch_training_seconds,cumulative_training_seconds
s1_random_1_percent,Random 1%,1,0.30506718405878597,529,742,1.207481999997981,1.207481999997981
s1_random_1_percent,Random 1%,2,0.30498294544405935,1058,742,1.165517917019315,2.372999917017296
s1_random_1_percent,Random 1%,3,0.30276428464491173,1587,742,1.1648175839800388,3.5378175009973347
s1_random_1_percent,Random 1%,4,0.3036725434301051,2116,742,1.205863333074376,4.743680834071711
s1_random_1_percent,Random 1%,5,0.3011324085414288,2645,742,1.1914864589925855,5.935167293064296
s1_random_1_percent,Random 1%,6,0.30162101623987125,3174,742,1.1889968750765547,7.124164168140851
s1_random_1_percent,Random 1%,7,0.30201142401284164,3703,742,1.197174167027697,8.321338335168548
s1_random_1_percent,Random 1%,8,0.3011006173166309,4232,742,1.167128166067414,9.488466501235962
s1_random_1_percent,Random 1%,9,0.3004789213429886,4761,742,1.1577114589745179,10.64617796021048
s1_random_1_percent,Random 1%,10,0.30011383614645903,5290,742,1.1542255410458893,11.800403501256369
s2_random_5_percent,Random 5%,1,0.3041786257562966,508,743,1.2977852079784498,1.2977852079784498
s2_random_5_percent,Random 5%,2,0.30450495008764594,1016,743,1.1361558749340475,2.4339410829124972
s2_random_5_percent,Random 5%,3,0.304740377834865,1524,743,1.1268074170220643,3.5607484999345616
s2_random_5_percent,Random 5%,4,0.30329421708736515,2032,743,1.2266838749637827,4.787432374898344
s2_random_5_percent,Random 5%,5,0.30292888512752325,2540,743,1.130763916997239,5.918196291895583
s2_random_5_percent,Random 5%,6,0.30217698263417325,3048,743,1.1224620420252904,7.040658333920874
s2_random_5_percent,Random 5%,7,0.30124730412008727,3556,743,1.1571965829934925,8.197854916914366
s2_random_5_percent,Random 5%,8,0.3001406568611784,4064,743,1.1211279159178957,9.318982832832262
s2_random_5_percent,Random 5%,9,0.3010519067935756,4572,743,1.1423175419913605,10.461300374823622
s2_random_5_percent,Random 5%,10,0.299199312308739,5080,743,1.1418656250461936,11.603165999869816
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),1,0.30425003176883353,508,744,1.1177964999806136,1.1177964999806136
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),2,0.3047156031534013,1016,744,1.15593045798596,2.2737269579665735
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),3,0.3034620019270587,1524,744,1.115642958902754,3.3893699168693274
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),4,0.302078461169881,2032,744,1.101633624988608,4.4910035418579355
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),5,0.30341553942952687,2540,744,1.0947087910026312,5.585712332860567
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),6,0.3016861009339481,3048,744,1.1243694999720901,6.710081832832657
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),7,0.3005755358828185,3556,744,1.0962349170586094,7.806316749891266
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),8,0.2992709922088282,4064,744,1.1553787500597537,8.96169549995102
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),9,0.2998758613501907,4572,744,1.1339732920750976,10.095668792026117
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),10,0.29953429284054234,5080,744,1.1155349590117112,11.211203751037829
s4_random_10_percent,Random 10%,1,0.30526842717850095,481,745,1.0518413339741528,1.0518413339741528
s4_random_10_percent,Random 10%,2,0.3045738568312168,962,745,1.0724482079967856,2.1242895419709384
s4_random_10_percent,Random 10%,3,0.30366001201016896,1443,745,1.0991186659084633,3.2234082078794017
s4_random_10_percent,Random 10%,4,0.30228278184812646,1924,745,1.1081450830679387,4.33155329094734
s4_random_10_percent,Random 10%,5,0.3021440854427448,2405,745,1.0699397909920663,5.401493081939407
s4_random_10_percent,Random 10%,6,0.30129349671829664,2886,745,1.0495178330456838,6.4510109149850905
s4_random_10_percent,Random 10%,7,0.3007046416881296,3367,745,1.1102566249901429,7.561267539975233
s4_random_10_percent,Random 10%,8,0.30061525651918125,3848,745,1.0659512500278652,8.627218790003099
s4_random_10_percent,Random 10%,9,0.29861081271230455,4329,745,1.0661685829982162,9.693387373001315
s4_random_10_percent,Random 10%,10,0.2990447758495091,4810,745,1.0553108340827748,10.74869820708409
s5_retention_expiry,Simulated Retention Expiry,1,0.2883803436946509,447,746,0.9984979999717325,0.9984979999717325
s5_retention_expiry,Simulated Retention Expiry,2,0.2877307676102895,894,746,0.9862515840213746,1.984749583993107
s5_retention_expiry,Simulated Retention Expiry,3,0.2871595334817506,1341,746,0.9877310830634087,2.972480667056516
s5_retention_expiry,Simulated Retention Expiry,4,0.2862088997378047,1788,746,1.0142567500006407,3.9867374170571566
s5_retention_expiry,Simulated Retention Expiry,5,0.2850438117743405,2235,746,0.9761261249659583,4.962863542023115
s5_retention_expiry,Simulated Retention Expiry,6,0.2862812333208017,2682,746,0.9935496670659631,5.956413209089078
s5_retention_expiry,Simulated Retention Expiry,7,0.2839764073968284,3129,746,0.9800397920189425,6.9364530011080205
s5_retention_expiry,Simulated Retention Expiry,8,0.2836708773384393,3576,746,0.9786349580390379,7.915087959147058
s5_retention_expiry,Simulated Retention Expiry,9,0.2830623347489855,4023,746,1.0067577919689938,8.921845751116052
s5_retention_expiry,Simulated Retention Expiry,10,0.2821657389773304,4470,746,1.0277944169938564,9.949640168109909
