scenario,affected_shards,earliest_affected_slice,replay_row_visits,initial_row_visits,replay_fraction,initial_training_seconds,replay_seconds,total_lifecycle_seconds,full_retraining_seconds,request_only_speed_up,total_lifecycle_speed_up
s1_recipient_withdrawal,5,1,124740,126000,0.99,5.677764374995604,6.73171241604723,12.409476791042835,36.94112924998626,5.4876273623818275,2.976848248481385
s2_living_donor_withdrawal,5,1,119700,126000,0.95,5.677764374995604,6.2438529171049595,11.921617292100564,28.041029500076547,4.490981749947775,2.352116228278603
s3_hospital_withdrawal,5,1,113400,126000,0.9,5.677764374995604,6.444651249796152,12.122415624791756,26.190132166957483,4.063855614807069,2.160471392631977
s4_invalid_consent,5,1,113400,126000,0.9,5.677764374995604,4.474830167135224,10.152594542130828,28.528546083020046,6.375336050191143,2.8099759095700545
s5_retention_expiry,5,1,107100,126000,0.85,5.677764374995604,6.499693542020395,12.177457917016,22.477784916060045,3.4582838053427585,1.8458519889156035
