model,split,threshold,auroc,pr_auc,brier_score,bce,precision,recall,specificity,balanced_accuracy,f1,predicted_positive_count,tn,fp,fn,tp,confusion_matrix
canonical_mlp,validation,0.07,0.8906333746053618,0.2894098353094678,0.022861331420183352,0.0910921881434807,0.18396226415094338,0.6215139442231076,0.9209052463138644,0.771209595268486,0.28389444949954507,848,8057,692,95,156,"[[np.int64(8057), np.int64(692)], [np.int64(95), np.int64(156)]]"
canonical_mlp,test,0.07,0.8784945929409683,0.28185606663871515,0.022991789128271618,0.09306326627518845,0.18225419664268586,0.6129032258064516,0.9220749542961609,0.7674890900513063,0.2809611829944547,834,8070,682,96,152,"[[np.int64(8070), np.int64(682)], [np.int64(96), np.int64(152)]]"
