scenario,model,pr_auc,balanced_accuracy,bce,f1,auroc
s1_actor_withdrawal,gradient_ascent,0.6268179853283242,0.6969924829203258,0.5469868601064947,0.6345936440145711,0.7678331333172799
s1_actor_withdrawal,full_retraining,0.625196953517891,0.6979677107308885,0.5473767952720796,0.6338965693804404,0.7677983290012835
s2_submission_withdrawal,gradient_ascent,0.627794714192216,0.6956570107054406,0.5471192730677836,0.6329147043432758,0.7677023121387283
s2_submission_withdrawal,full_retraining,0.6269841132735152,0.6987744853117451,0.5473641353933832,0.6343741659994663,0.7676460439505276
s3_agency_withdrawal,gradient_ascent,0.6317147461677954,0.7017651479485811,0.5446612298562574,0.6409159884121948,0.7714936504598217
s3_agency_withdrawal,full_retraining,0.6315356653989791,0.7025682790480858,0.5443108271553676,0.6416137054434927,0.7719903131906871
s4_project_closure,gradient_ascent,0.6362431885879183,0.7003891939834169,0.5477877146321621,0.6454376695701842,0.7705762780860609
s4_project_closure,full_retraining,0.6379746868080941,0.7021300719397218,0.5471322945199681,0.6456670053708811,0.7713714624410277
s5_retention_expiry,gradient_ascent,0.6316380620549362,0.700036330861856,0.5432768510143211,0.6372663551401869,0.7720074012204234
s5_retention_expiry,full_retraining,0.6317677435606652,0.7016355126468097,0.5433336430421687,0.6357716189610783,0.772686237869529
